                                                           The SAS System                      09:37 Thursday, November 29, 2018   1

                                                         REPORTABLE_     mean_
                                         Obs    DOEID       DOMAIN       hdd65     CUFEETNG
                                         164    08849         1         6900.30         0  
                                         165    09066         1         6900.30         0  
                                                           The SAS System                      09:37 Thursday, November 29, 2018   4

                                                         REPORTABLE_     mean_
                                         Obs    DOEID       DOMAIN       hdd65     CUFEETNG

                                         166    09720         1         6900.30         0  
                                         167    10071         1         6900.30         0  
                                         168    10109         1         6900.30         0  
                                         169    09430         1         6900.30      1586  
                                         170    09544         1         6900.30        25  
                                         171    09848         1         6900.30         0  
                                         172    08754         1         6900.30       343  
                                         173    09173         1         6900.30         0  
                                         174    08377         1         6900.30        49  
                                         175    09475         1         6900.30      1559  
                                         176    08662         1         6900.30        99  
                                         177    08634         1         6900.30         0  
                                         178    08855         1         6900.30       288  
                                         179    08877         1         6900.30         0  
                                         180    08456         1         6900.30         0  
                                         181    10295         1         6900.30         0  
                                         182    11100         1         6900.30         0  
                                         183    10690         1         6900.30         0  
                                         184    11162         1         6900.30         0  
                                         185    11462         1         6900.30         0  
                                         186    11039         1         6900.30         0  
                                         187    11652         1         6900.30      1245  
                                         188    11983         1         6900.30         0  
                                         189    10547         1         6900.30         0  
                                         190    10458         1         6900.30         0  
                                         191    11954         1         6900.30         0  
                                         192    11213         1         6900.30         0  
                                         193    10324         1         6900.30         0  
                                         194    11670         1         6900.30         0  
                                         195    10479         1         6900.30         0  
                                         196    10627         1         6900.30       969  
                                         197    12037         1         6900.30         0  
                                         198    10593         1         6900.30         0  
                                         199    10360         1         6900.30         0  
                                         200    10318         1         6900.30         0  
                                         201    10848         1         6900.30      1004  
                                         202    10891         1         6900.30         0  
                                         203    11495         1         6900.30       973  
                                         204    10934         1         6900.30      1949  
                                         205    10879         1         6900.30         0  
                                         206    11711         1         6900.30         0  
                                         207    11741         1         6900.30         0  
                                         208    11876         1         6900.30         0  
                                         209    10931         1         6900.30        32  
                                         210    10831         1         6900.30         0  
                                         211    12050         1         6900.30       782  
                                         212    11418         1         6900.30         0  
                                         213    10611         1         6900.30         0  
                                         214    10263         1         6900.30         0  
                                         215    10506         1         6900.30         0  
                                         216    10498         1         6900.30         0  
                                         217    10544         1         6900.30         0  
                                         218    11055         1         6900.30      1139  
                                         219    11294         1         6900.30         0  
                                         220    11957         1         6900.30         0  
                                                           The SAS System                      09:37 Thursday, November 29, 2018   5

                                                         REPORTABLE_     mean_
                                         Obs    DOEID       DOMAIN       hdd65     CUFEETNG

                                         221    11286         1         6900.30         0  
                                         222    10978         1         6900.30         0  
                                         223    10632         1         6900.30         0  
                                         224    11496         1         6900.30         0  
                                         225    12070         1         6900.30         0  
                                         226    10705         1         6900.30         0  
                                         227    11268         1         6900.30         0  
                                         228    10837         1         6900.30         0  
                                         229    11942         1         6900.30      1099  
                                         230    11107         1         6900.30      1433  
                                         231    10662         1         6900.30      1154  
                                         232    06037         1         6900.30         0  
                                         233    07174         1         6900.30         0  
                                         234    06411         1         6900.30         0  
                                         235    05203         1         6900.30        25  
                                         236    06093         1         6900.30         0  
                                         237    06252         1         6900.30       997  
                                         238    05202         1         6900.30      2121  
                                         239    05290         1         6900.30         0  
                                         240    06416         1         6900.30         0  
                                         241    05903         1         6900.30         0  
                                         242    06393         1         6900.30         0  
                                         243    05519         1         6900.30         0  
                                         244    07133         1         6900.30         0  
                                         245    05256         1         6900.30      1457  
                                         246    05872         1         6900.30       859  
                                         247    06730         1         6900.30         0  
                                         248    06160         1         6900.30         0  
                                         249    06430         1         6900.30         0  
                                         250    05631         1         6900.30         0  
                                         251    06480         1         6900.30         0  
                                         252    06709         1         6900.30         0  
                                         253    06671         1         6900.30         0  
                                         254    06134         1         6900.30         0  
                                         255    07202         1         6900.30         0  
                                         256    06770         1         6900.30         0  
                                         257    06766         1         6900.30         0  
                                         258    05358         1         6900.30       852  
                                         259    07110         1         6900.30         0  
                                         260    06315         1         6900.30      2276  
                                         261    07411         1         6900.30         0  
                                         262    06726         1         6900.30         0  
                                         263    05993         1         6900.30         0  
                                         264    05776         1         6900.30         0  
                                         265    06931         1         6900.30         0  
                                         266    06310         1         6900.30         0  
                                         267    05849         1         6900.30         0  
                                         268    07457         1         6900.30         0  
                                         269    06440         1         6900.30         0  
                                         270    06808         1         6900.30         0  
                                         271    07612         1         6900.30      3728  
                                         272    07580         1         6900.30         0  
                                         273    06376         1         6900.30         0  
                                         274    05597         1         6900.30         0  
                                         275    06004         1         6900.30         0  
                                                           The SAS System                      09:37 Thursday, November 29, 2018   6

                                                         REPORTABLE_     mean_
                                         Obs    DOEID       DOMAIN       hdd65     CUFEETNG

                                         276    05459         1         6900.30       595  
                                         277    07611         1         6900.30         0  
                                         278    06819         1         6900.30         0  
                                         279    05556         1         6900.30      1648  
                                         280    06818         1         6900.30         0  
                                         281    06877         1         6900.30         0  
                                         282    06198         1         6900.30         0  
                                         283    06473         1         6900.30       696  
                                         284    06800         1         6900.30         0  
                                         285    05187         1         6900.30         0  
                                         286    05434         2         6313.51       624  
                                         287    07626         2         6313.51      1242  
                                         288    06247         2         6313.51       971  
                                         289    06060         2         6313.51         0  
                                         290    05192         2         6313.51       818  
                                         291    05697         2         6313.51       535  
                                         292    06934         2         6313.51       861  
                                         293    05781         2         6313.51       949  
                                         294    05331         2         6313.51       328  
                                         295    06259         2         6313.51      1042  
                                         296    05274         2         6313.51         0  
                                         297    06647         2         6313.51      1889  
                                         298    05552         2         6313.51         0  
                                         299    06290         2         6313.51         0  
                                         300    05450         2         6313.51       244  
                                         301    06382         2         6313.51       251  
                                         302    05621         2         6313.51         0  
                                         303    05439         2         6313.51      1218  
                                         304    05800         2         6313.51       786  
                                         305    05730         2         6313.51      1169  
                                         306    05596         2         6313.51       863  
                                         307    05858         2         6313.51         0  
                                         308    06183         2         6313.51       845  
                                         309    06143         2         6313.51       492  
                                         310    06613         2         6313.51       551  
                                         311    05558         2         6313.51         0  
                                         312    05996         2         6313.51         0  
                                         313    05399         2         6313.51       848  
                                         314    05122         2         6313.51         0  
                                         315    06570         2         6313.51         0  
                                         316    07465         2         6313.51      1403  
                                         317    07077         2         6313.51       803  
                                         318    06034         2         6313.51      1185  
                                         319    06944         2         6313.51         0  
                                         320    05400         2         6313.51      1310  
                                         321    07123         2         6313.51       863  
                                         322    06989         2         6313.51         0  
                                         323    06558         2         6313.51      1036  
                                         324    06666         2         6313.51       841  
                                         325    06422         2         6313.51        27  
